QUEST_20150317_000001	Пожалуйста, выберите пользователя, требующие обновления квеста.
QUEST_20150317_000002	Статуя богини Vakarine
QUEST_20150317_000003	Пожалуйста, выберите территория.
QUEST_20150317_000004	Выберите
QUEST_20150317_000005	Пожалуйста, выберите элемент.
QUEST_20150317_000006	Выберите Группу
QUEST_20150317_000007	Пожалуйста, выберите чит запустить группу.
QUEST_20150317_000008	Выберите Зону
QUEST_20150317_000009	Пожалуйста, выберите начальную зону.
QUEST_20150317_000010	Выберите Продвижения
QUEST_20150317_000011	Пожалуйста, выберите класс.
QUEST_20150317_000012	Мастер-Бокоро
QUEST_20150317_000013	Итак, вам интересно про этот камень сланец. {nl}[Подробности кричать имя богини Ausrine!]}если вы хотите, я покажу вам волю своего Творца.
QUEST_20150317_000014	Богиня Лайма
QUEST_20150317_000015	К тому времени, вы получите это сообщение, сколько времени прошло. {nl}я Лайма, богиня судьбы и мудрости.
QUEST_20150317_000016	600 лет назад при создании этого откровения, я предвидел много смерти и страданий. {nl}если ты это видишь, то я боюсь, что я предвидел, сбылось.
QUEST_20150317_000017	Демоны начали первый катаклизмов, и богини исчезли. {nl}я знал, что все это могло бы произойти и сделал все, что мог, чтобы предотвратить такую судьбу, но моей силы было не достаточно.
QUEST_20150317_000018	Вместо этого, я бродила по дальновидные мечты за ответ. {nl}Вы были в конце их... Спаситель.
QUEST_20150317_000019	К сожалению, демоны не могли оставаться на месте, зная, что я обладаю силой в ясновидении. {nl}я была вынуждена скрыть до времени свою внешность.
QUEST_20150317_000020	Я решил разделить мое тело, и оставаться в течение многих откровений. {nl} откровений, что мне продолжали создавать тайно на протяжении тысячелетия.
QUEST_20150317_000021	Спаситель, если вы можете помочь мне вернуть мою форму, мы можем остановить демонов зловещие планы.{nl}необходимо восстановить откровений, которые я спрятал на протяжении каждой оси времени.
QUEST_20150317_000022	Эта Божественная задача может быть тяжелым бременем, но это то, что вы должны нести. {nl}возможно, в мутной гуще беды и невзгоды, что-то может произойти.
QUEST_20150317_000023	Тем не менее, только мы можем спасти этот мир.
QUEST_20150317_000024	Я перешел на следующий откровение, чтобы первый Паладин. {nl}он будет ждать вас на самом высоком цветнике.
QUEST_20150317_000025	Темная аура-это действительно неприятно... {nl}но если это сообщение действительно от богини Лаймы, то я просто в восторге.
QUEST_20150317_000026	Ну, вы должны поторопиться и найти сэра Uska. {nl}он скажет вам, куда идти дальше. {nl}пусть богиня благословит твою судьбу...
QUEST_20150317_000027	Пожалуйста выберите предпочитаемый умный быт.
QUEST_20150317_000028	Уильям
QUEST_20150317_000029	Плата в 100 серебра. {nl}это дешевле, чем резка с помощью центрального монстра.
QUEST_20150317_000030	Cyneburg
QUEST_20150317_000031	Это будет 100 серебряных монет. {nl}, что расскажу об операциях, трудовых ресурсов и других затрат.
QUEST_20150317_000032	Эй, подождите минуту. {nl}Вы знаете, что нужно что-то еще...
QUEST_20150317_000033	Это не есть хорошо! {nl}я не могу работать даром, даже для откровений.
QUEST_20150317_000034	Странствующий Торговец
QUEST_20150317_000035	Как семена одуванчика, я всего лишь тот, кто следует за ветром. {nl}с тех пор как мы встретились таким странным образом, пожалуй, вы могли бы уделить минутку для просмотра моего раритеты??
QUEST_20150317_000036	Кристина
QUEST_20150317_000037	Welcome! {nl}You're looking for a travel companion, right? {nl}You won't find a better place for partners than here!
QUEST_20150317_000038	Вы можете сделать ваши спутники смотреть, как ты бороться или поезд специальные атрибуты. {nl}заработать достаточно привязанности, и вы можете даже купить некоторые интересные техники!
QUEST_20150317_000039	Raising your companion's affection will increase riding stamina and evasion! {nl}Ну и что? do you think? Is that enough to make you consider one?
QUEST_20150317_000040	Коробке требуется соответствующий ключ.
QUEST_20150317_000041	Выберите Квест
QUEST_20150317_000042	Изменить Статус Квеста
QUEST_20150317_000043	Принудительный запуск??
QUEST_20150317_000044	Пункты, подлежащие исключению
QUEST_20150317_000045	Выберите GenType
QUEST_20150317_000046	Выберите Координаты
QUEST_20150317_000047	Рыцарь Титас
QUEST_20150317_000048	Если это так, пойти посмотреть Рыцарь-Командор Uska в Клайпеде. {nl}но во-первых, кое-что важное мне нужно с тобой поговорить, так что следуйте за мной.
QUEST_20150317_000049	Было бы неплохо, если бы я мог найти время, чтобы отдохнуть...
QUEST_20150317_000050	Sparnas... {nl}не кто-то, чтобы не принимать всерьез...
QUEST_20150317_000051	Солдат Муди
QUEST_20150317_000052	Давайте разберемся с этим монстром прежде, чем говорить.
QUEST_20150317_000053	Совместные Следственные Команды - Скотт
QUEST_20150317_000054	Я долго время, когда наша команда больше не нужна... {nl}что мирное возрасте, что бы быть...
QUEST_20150317_000055	Я не знаю с чего начать. {nl}вы что-нибудь слышали??
QUEST_20150317_000056	По королевским заказам, мы пришли в этот лес, чтобы расследовать какие-то странные события. {nl}свидетели сообщали что-то с большим лицом и костлявыми пальцами. {nl}что же это может быть??
QUEST_20150317_000057	В прошлом, паломники путешествовали через этот лес. {nl}но теперь из-за присутствия монстров, только солдаты собрались здесь.
QUEST_20150317_000058	До тех пор, пока четыре года назад, богинь часто благословил нас признаки их присутствия. {nl}но теперь, даже наши совместные молитвы не приносят столько как тремор. {nl}они действительно бросили нас??
QUEST_20150317_000059	Vacenin лично обращается к каждому региону иметь дело с вещами. {nl}он становится неуютно, когда он остается в городе.
QUEST_20150317_000060	Do you plan on staying or enlisting? {nl}If you're interested, I'll gladly recommend you to the head commanders.
QUEST_20150317_000061	Не позволяйте вашей бдительности. Монстров могут появиться в любое время, в любом месте.
