QUEST_LV_0300_20150323_000001	Мы были переброшены сюда из штаб-квартиры для поддержки рыцарей Kaliss.{nl}если вы хотите знать больше, зайдите на наш штаб в Verkti площади.
QUEST_LV_0300_20150323_000002	Я был торговцем всю свою жизнь. {nl}после Medzio Диена, это казалось самым безопасным местом, чтобы быть, поэтому я поселился здесь... {nl}но я предполагаю, что я был неправ.
QUEST_LV_0300_20150323_000003	Я встречал многих носителей откровений во время моих путешествий.{nl}, на мой взгляд... есть что-то особенное про них, и дело не только в их прочности.
QUEST_LV_0300_20150323_000004	Я не виню богинь и священники.{nl}но я думаю, что это слишком много, когда они говорят нам, чтобы просто доверять им и ждать.
QUEST_LV_0300_20150323_000005	The seals in the village are supposed to be sealed - that's why they're called seals, so what's the big deal?{nl} The priests are just trying to scare us for no reason.
QUEST_LV_0300_20150323_000006	Священники не хочу, чтобы все знали, насколько важна уплотнения в деревне.{nl} они думают, что они могут просто взять бремя на себя, и тогда все будет хорошо.
QUEST_LV_0300_20150323_000007	Некоторые священники хотят быть правдивыми и открытыми с жителями.{nl}по данной ставке, если что-то действительно плохое происходит...
QUEST_LV_0300_20150323_000008	Злость делает этого леса распадаются на безжизненное место.{nl}это легко самая большая проблема этой деревне стоят.
QUEST_LV_0300_20150323_000009	Богиня...{nl}Пожалуйста, скажите мне, деревне печать действительно хорошо...
QUEST_LV_0300_20150323_000010	Демоны будут по-прежнему нацелены на печать и атаковать бесконечно.{nl}с богиней Austeja по-прежнему отсутствует, как долго мы сможем до последнего...
QUEST_LV_0300_20150323_000011	Это была ошибка для нас, чтобы попробовать справиться с этим самостоятельно.{nl}отныне мы будем рассказывать односельчанам всю правду и включить их в преднамеренной дискуссии о том, как справиться с ситуацией.
QUEST_LV_0300_20150717_000012	Check the Detector's Functionality (1)
QUEST_LV_0300_20150717_000013	Demons, Goddesses, and the Petrified City (1)
QUEST_LV_0300_20150717_000014	Check the Detector's Functionality (2)
QUEST_LV_0300_20150717_000015	Demons, Goddesses, and the Petrified City (2)
QUEST_LV_0300_20150717_000016	Check the Detector's Functionality (3) 
QUEST_LV_0300_20150717_000017	Check the Detector's Functionality (4)
QUEST_LV_0300_20150717_000018	Об вдохновению души
QUEST_LV_0300_20150717_000019	Ремонт Окаменение детектор
QUEST_LV_0300_20150717_000020	Ремонт/оформление/3/TRACK_AFTER/никто
QUEST_LV_0300_20150717_000021	Check the Detector's Functionality (5)
QUEST_LV_0300_20150717_000022	Ремонт/оформление/3/TRACK_BEFORE
QUEST_LV_0300_20150717_000023	Notice/!/One of the parts is not fastened very well{nl}You'll need something like a string to tie it in place!#5
QUEST_LV_0300_20150717_000024	Notice/!/You need to find a string.#5
QUEST_LV_0300_20150717_000025	Для наведения души
QUEST_LV_0300_20150717_000026	Теперь вы можете расслабиться
QUEST_LV_0300_20150717_000027	Изучив устройство/смотреть/2/TRACK_BEFORE/никто
QUEST_LV_0300_20150717_000028	Уведомление/!/При нажатии на устройство, такое чувство как будто душу высасывают!{nl}Вы начинаете чувствовать себя все слабее и слабее!
QUEST_LV_0300_20150717_000029	Notice/!/Now you feel reenergized.#5
QUEST_LV_0300_20150717_000030	Его Единственным Желанием (1)
QUEST_LV_0300_20150717_000031	О Причинах Его Deathwish
QUEST_LV_0300_20150717_000032	His Only Desire (3)
QUEST_LV_0300_20150717_000033	His Only Desire (2)
QUEST_LV_0300_20150717_000034	Идите к Священнослужителю Мастер
QUEST_LV_0300_20150717_000035	Теперь Вы не смогли работать вместе
