QUEST_LV_0200_20150317_000001	Philipas' Солдата
QUEST_LV_0200_20150317_000002	Монстры атаки становятся все более жестокими. {nl} я решимости добиться успеха, но я также опасаются за свою безопасность.
QUEST_LV_0200_20150317_000003	Это неважно - я могу отдать свою жизнь сегодня, или быть покойником завтра.
QUEST_LV_0200_20150317_000004	Командир Vacenin
QUEST_LV_0200_20150317_000005	Так или иначе, мы должны решить нашу бедную товары и сил. {nl}как только мы добиваемся, что мы сможем прорваться через лес, кусок за куском.
QUEST_LV_0200_20150317_000006	Хотя все устали, мы не можем сдаваться, пока Kateen лес снова наш.
QUEST_LV_0200_20150317_000007	Старший Офицер Philipas
QUEST_LV_0200_20150317_000008	Я желаю для мира во всем мире. {nl}для того чтобы это произошло, мне нужно работать усерднее.
QUEST_LV_0200_20150317_000009	Я сделаю все, чтобы восстановить этот лес от монстров. {nl} стоит рисковать жизнью из-за.
QUEST_LV_0200_20150317_000010	Наша передняя линия состоит исключительно из Philipas войска. {nl} они последуют за Philipas повеления ничего.
QUEST_LV_0200_20150317_000011	Жить с мыслью, что в любой момент может стать последним. {nl} мы должны извлечь уроки из прошлого и использовать это в свою пользу.
QUEST_LV_0200_20150317_000012	Офицер Феликс
QUEST_LV_0200_20150317_000013	Вход Kateen лес, а на безопасной стороне, но, пожалуйста, воздержитесь от более этого.
QUEST_LV_0200_20150317_000014	Слабые Сова Скульптура
QUEST_LV_0200_20150317_000015	Моя сила постепенно слабеет. {nl} хотя есть много душ, которые нуждаются в руководстве...
QUEST_LV_0200_20150317_000016	Испугалась Сова Скульптура
QUEST_LV_0200_20150317_000017	The holy power of the forest is weakening. {nl} What will happen to us after it's gone?!
QUEST_LV_0200_20150317_000018	Это слишком страшно. {nl}этого никогда не случилось, когда богиня была все еще вокруг...
QUEST_LV_0200_20150317_000019	Искренние Сова Скульптура
QUEST_LV_0200_20150317_000020	Этот лес проклят... он потребляет совы. {nl} я вряд ли что-нибудь, чтобы заставить храбрость от других.
QUEST_LV_0200_20150317_000021	С тех пор, как огромное дерево вдруг возник этот лес изменилось в нечто ужасное. {nl} даже деревья' корни напугать того, кто смотрит на них.
QUEST_LV_0200_20150317_000022	Посвящена Скульптура Сова
QUEST_LV_0200_20150317_000023	Кто-то был в плену. {nl} я чувствую, что он исчезнет...
QUEST_LV_0200_20150317_000024	The sacred force created by the goddess has not completely disappeared. {nl}Will it be able to suppress this devastation? {nl}
QUEST_LV_0200_20150317_000025	Начальник дал мне силу.{nl}я не испугаюсь.
QUEST_LV_0200_20150317_000026	Я не буду больше бояться. Я никогда не быть съеденным монстрами.
QUEST_LV_0200_20150317_000027	Проблемная Сова Скульптура
QUEST_LV_0200_20150317_000028	Я страдаю каждый день.{nl}пожалуй, я тоже будут съедены монстрами.
QUEST_LV_0200_20150317_000029	Этот лес все больше покрывался с демонами.{nl}и где тут богиня??
QUEST_LV_0200_20150317_000030	Я выбрал главный... {nl} я сделаю все возможное, чтобы победить монстров.
QUEST_LV_0200_20150317_000031	Начальник тоже борется такой...{nl}никогда не будет я быть съеденным, пока богиня не вернется.
QUEST_LV_0200_20150317_000032	Подчиненные Сова 3
QUEST_LV_0200_20150317_000033	Мы всегда были здесь, в этом месте, но где это богиня, которая всегда заботилась о нас??
QUEST_LV_0200_20150317_000034	Мы существуем только для руководящих и человеческих душ??
QUEST_LV_0200_20150317_000035	Солдат Доминик
QUEST_LV_0200_20150317_000036	Мне было приказано охранять это место со своей жизнью и сделать некоторую разведку одновременно.{nl}я не знаю точно, что они от меня хотят.
QUEST_LV_0200_20150317_000037	В следующий раз я собираюсь убедиться, что они говорят мне именно то, что они хотят меня сделать.{nl}нет. не лучше ли спросить у Джулиана??
QUEST_LV_0200_20150317_000038	Если это просто монстры этого уровня, я полагаю, я могу сообщить, что существует серьезная проблема.{nl}Да, если вы случайно наткнетесь Самсон, скажи ему, чтобы перестал валять дурака и продолжить разведку.
QUEST_LV_0200_20150317_000039	Я буду защищать эту область, так идите патруль Veltui перекрестке.{nl}как для отчетов, я буду делать их отдельно позже.
QUEST_LV_0200_20150317_000040	Soldier Самсон
QUEST_LV_0200_20150317_000041	Can you please Справка me find Dominic's engagement ring? {nl} I'm currently undertaking a mission, so I won't be able to leave this spot.
QUEST_LV_0200_20150317_000042	Я вам скажу, он так себя ведет, хотя я купила ему примерно аналогичной. Так скупы...
QUEST_LV_0200_20150317_000043	What is this ugly thing? Oh, could the ring be inside?
QUEST_LV_0200_20150317_000044	Нож не помещается, и нет другого способа, чтобы получить его.{nl}право! Мы не можем сжечь его, чтобы получить то, что внутри??
QUEST_LV_0200_20150317_000045	Просто убедитесь, что принесли мне те, которые не слишком толстые.
QUEST_LV_0200_20150317_000046	Это должно быть просто правильно.{nl}хорошо. Сейчас, как мне записать все это, пока я работаю и не попасться??
QUEST_LV_0200_20150317_000047	Там должно быть много сухого терновника лесу дерево на краю обрыва Ishisineti. {nl} я на патруль и не было времени, поэтому я спрашиваю Вас снова.
QUEST_LV_0200_20150317_000048	Ах, вы должны быть в состоянии записать его тайно на вершине скалы Ishisineti. {nl} это моя последняя просьба. Вам просто нужно сделать препараты для костра.
QUEST_LV_0200_20150317_000049	Я никогда не буду снова ухаживать за чужой свадебной церемонии.
